experiment_key,lot_number,wafer_number,conditioning_count,conditioning_surface,mean_si_etch,std_si_etch,cv_si_etch,min_si_etch,max_si_etch,n_points,Date,planned_wafers,process_date,process_group
2024-08-07_10,8,10,3,SiO2,43.21752471910112,3.549246849341962,0.0821251765900715,39.5611,51.0756,89,7th Aug 2024,10,2024-08-07,Day_2024_08_07_Wafer_10
2024-08-21_01,9,1,3,Chuck,44.29168651685393,3.812686653499169,0.0860813157802957,40.5155,52.6704,89,21st Aug 2024,10,2024-08-21,Day_2024_08_21_Wafer_01
2024-08-21_02,9,2,3,Chuck,44.376304494382026,3.799254092010874,0.0856144768091685,40.613,52.64,89,21st Aug 2024,10,2024-08-21,Day_2024_08_21_Wafer_02
2024-08-21_03,9,3,3,Chuck,44.198883146067416,3.7333308124014857,0.0844666323369227,40.4619,52.3408,89,21st Aug 2024,10,2024-08-21,Day_2024_08_21_Wafer_03
2024-08-21_04,9,4,3,Chuck,43.97901235955056,3.6845254736354103,0.0837791772928541,40.2646,52.0674,89,21st Aug 2024,10,2024-08-21,Day_2024_08_21_Wafer_04
2024-08-21_05,9,5,3,Chuck,43.78194831460674,3.6411057775986007,0.0831645442417152,40.0754,51.7766,89,21st Aug 2024,10,2024-08-21,Day_2024_08_21_Wafer_05
2024-08-21_06,9,6,3,Chuck,43.35196179775281,3.586823470879388,0.0827372815932245,39.689,51.2778,89,21st Aug 2024,10,2024-08-21,Day_2024_08_21_Wafer_06
2024-08-21_07,9,7,3,Chuck,43.514860674157305,3.590227219088776,0.0825057730501007,39.8362,51.3211,89,21st Aug 2024,10,2024-08-21,Day_2024_08_21_Wafer_07
2024-08-21_08,9,8,3,Chuck,43.43098426966292,3.580032522481111,0.0824303796628852,39.7517,51.2209,89,21st Aug 2024,10,2024-08-21,Day_2024_08_21_Wafer_08
2024-08-21_10,9,10,3,Chuck,43.34042359550562,3.5570727673257627,0.0820728657505467,39.687,51.2241,89,21st Aug 2024,10,2024-08-21,Day_2024_08_21_Wafer_10
2024-08-22_01,10,1,3,SiO2,44.3370988764045,3.776954298604727,0.0851872223109023,40.5799,52.5928,89,22nd Aug 2024,10,2024-08-22,Day_2024_08_22_Wafer_01
2024-08-22_02,10,2,3,SiO2,44.01008764044944,3.711611944713637,0.0843354817885505,40.302,52.1391,89,22nd Aug 2024,10,2024-08-22,Day_2024_08_22_Wafer_02
2024-08-22_03,10,3,3,SiO2,44.15319438202248,3.6983499981674735,0.0837617764678268,40.4314,52.1227,89,22nd Aug 2024,10,2024-08-22,Day_2024_08_22_Wafer_03
2024-08-22_04,10,4,3,SiO2,43.86219509404494,3.5561902511014423,0.0810764313887304,40.22615165,51.5528,89,22nd Aug 2024,10,2024-08-22,Day_2024_08_22_Wafer_04
