experiment_key,lot_number,wafer_number,conditioning_count,conditioning_surface,mean_si_etch,std_si_etch,cv_si_etch,min_si_etch,max_si_etch,n_points,Date,planned_wafers,process_date,process_group,n_samples,n_process_signals,EpdIntensity_mean,ForeLinePressure_mean,ForeLinePressure_min,ForeLinePressure_max,Gas1Flow_mean,Gas1Flow_max,Gas2Flow_mean,Gas2Flow_std,Gas2Flow_min,Gas2Flow_max,Gas4Flow_mean,Gas4Flow_max,Gas5Flow_max,Gas7Flow_mean,Gas7Flow_std,Gas7Flow_min,Gas7Flow_max,Heater1Temp_mean,Heater2Temp_mean,Heater2Temp_std,Heater3Temp_mean,Heater3Temp_std,Heater3Temp_min,Heater3Temp_max,Heater4Temp_mean,Heater4Temp_std,HeliumBPFlow_mean,HeliumBPFlow_std,HeliumBPFlow_min,HeliumBPFlow_max,HeliumBPPressure_mean,HeliumBPPressure_min,HeliumBPPressure_max,PlatenDcBias_mean,PlatenDcBias_std,PlatenDcBias_min,PlatenDcBias_max,PlatenRFLoadCapacitor_mean,PlatenRFLoadCapacitor_std,PlatenRFLoadCapacitor_min,PlatenRFLoadCapacitor_max,PlatenRFLoadPower_max,PlatenRFPeakToPeak_mean,PlatenRFPeakToPeak_max,PlatenRFReflectedPower_mean,PlatenRFReflectedPower_std,PlatenRFReflectedPower_max,PlatenRFTuningCapacitor_mean,PlatenRFTuningCapacitor_std,PlatenRFTuningCapacitor_min,PlatenRFTuningCapacitor_max,Pressure_mean,Pressure_min,Pressure_max,SourceRF2PeakToPeak_mean,SourceRF2PeakToPeak_max,SourceRFLoadPower_max,SourceRFPeakToPeak_max,SourceRFReflectedPower_mean,SourceRFReflectedPower_std,moriInnerCurrent_max
2024-07-19_09,5,9,1,Si,43.233769856629216,3.4869587445155985,0.0806535899154519,39.6471,50.9989,89,19th July 2024,10,2024-07-19,Day_2024_07_19_Wafer_09,3195,31,0.1230000033974647,130.08240058552678,22.583696365356445,157.78070068359375,7.413868544495582,200.0,4.12311424544906,0.1066394725421884,3.660000085830689,4.460000038146973,72.54851326713913,300.010009765625,600.030029296875,2.067589931607433,0.0383571484771141,1.950000047683716,2.1700000762939453,1371.010263534331,54.40159606933594,0.2362447858398999,10.190422408233786,0.0324673976265021,10.100000381469728,10.300000190734863,59.70575903234347,0.0748073012085575,1.3366602845198483,0.3925760262749844,0.1220740377902984,9.234901428222656,14.36497998903848,0.0067140720784664,14.993743896484377,3.4669504356682768,9.163831385076328,-33.47880554199219,34.30280303955078,87.57388110929439,7.513623771761931,35.48081970214844,92.19336700439452,79.927978515625,537.1236821373117,985.9157104492188,3.252943571168399,9.611277070154657,398.5412292480469,28.83620691851644,3.830707351566821,26.18793296813965,49.98321533203125,0.0408574019921273,0.0006999999750405,0.0650999993085861,0.1354945402190159,58.90072250366211,2805.810791015625,3372.90576171875,140.4628698295294,167.96172595780547,10.032837867736816
2024-07-19_10,5,10,1,Si,43.02462584269663,3.4908134401574133,0.081135242242902,39.4453,50.8589,89,19th July 2024,10,2024-07-19,Day_2024_07_19_Wafer_10,3245,31,0.1230000033974647,128.39329754810305,21.97332763671875,158.08587646484375,7.146323583067864,200.0,4.136992300383299,0.1070358264273168,3.7100000381469727,4.409999847412109,71.29425873091941,300.010009765625,600.0399780273438,2.067352795196792,0.0350064171192411,1.950000047683716,2.1600000858306885,1371.0166369233918,54.39704156414202,0.2121548013625953,10.199999809265137,0.0,10.199999809265137,10.199999809265137,59.70477666281772,0.0768442210359299,1.3465537602985953,0.3896196733784645,0.1171910762786865,9.23367977142334,14.379387883013129,0.0061037018895149,14.993743896484377,3.458955634577065,9.487271183500384,-97.62871551513672,30.579545974731445,85.6108537449124,13.853915834814188,7.159642219543457,92.18115997314452,79.927978515625,527.193288013711,984.1990356445312,3.310289588703764,7.325107511053529,220.6945953369141,28.779866669100866,3.8521060182333984,24.27136993408203,50.065616607666016,0.0405915868725449,0.0006999999750405,0.0763000026345253,0.0799406266175727,55.69628143310547,2804.6357421875,3371.22705078125,142.53900927892315,180.76479349369924,10.016724586486816
2024-08-01_01,6,1,9,Si,43.75222247191011,3.6681675018372233,0.0838395696171152,40.0937,51.9813,89,1st Aug 2024,10,2024-08-01,Day_2024_08_01_Wafer_01,3299,31,18.676811940884477,126.82822798584114,21.362957000732425,158.6962432861328,7.195153076286934,200.0,4.3391906624672885,0.1265293844547525,3.9600000381469727,4.730000019073486,70.30228836278799,300.0,600.010009765625,1.9945286396020248,0.0587145909634939,1.850000023841858,2.1700000762939453,1371.0143947873053,54.99378588474964,0.1763987911994948,10.213034116126943,0.0349978545418123,10.100000381469728,10.300000190734863,59.16983951269117,0.1036170008067974,1.3710328018703255,0.3948537294256274,0.1098666340112686,9.497360229492188,14.390024795018252,0.0036622211337089,14.993743896484377,4.1131069007589085,13.73938596167008,-32.074954986572266,35.55406188964844,83.84766660491131,18.411357575149843,0.0,92.46498107910156,80.29419708251953,511.2067594363423,977.8130493164062,3.36742011578508,8.145438310240221,232.001708984375,28.464039305623064,4.046918940976519,24.2164363861084,49.94659423828125,0.0403588962144192,0.0006000000284984,0.0648000016808509,0.1460244536363706,59.20590972900391,2806.482177734375,3380.9931640625,141.9472505509239,187.975849027156,10.016724586486816
2024-08-01_02,6,2,9,Si,44.195029213483146,3.712803884630562,0.0840095357035729,40.5022,52.2677,89,1st Aug 2024,10,2024-08-01,Day_2024_08_01_Wafer_02,3246,31,0.1230000033974647,128.3109645461566,22.583696365356445,158.08587646484375,7.28359211384573,200.0,4.395961184598602,0.1277453576644311,3.839999914169312,4.690000057220459,71.51457473005611,300.010009765625,600.0499877929688,1.8903635196383175,0.0411954251835933,1.7400000095367432,1.9900000095367432,1371.015430612617,55.01811448835842,0.1583962401533175,10.209919748523689,0.0298976234894251,10.199999809265137,10.300000190734863,59.189772151681424,0.0854254708097686,1.3094520293685734,0.393990944372195,0.1281777471303939,9.441205978393556,14.374653382949848,0.0024414807558059,14.993743896484377,3.924552447400707,14.158020674730906,-66.71346282958984,40.65065383911133,85.98037667209839,13.935258142158842,7.428205013275146,92.40089416503906,80.29419708251953,523.4861437550167,980.7656860351562,3.317689163946602,7.965639686879844,229.07192993164065,28.591469587841964,3.9760539824399994,24.22559356689453,50.138858795166016,0.0405994452732211,0.0006000000284984,0.0729999989271164,0.0825955337458602,56.154056549072266,2806.146484375,3381.450927734375,137.9397250777013,178.763995952178,10.034852027893066
2024-08-01_03,6,3,9,Si,44.066997752808994,3.679643666325756,0.0835011199756897,40.3885,52.1867,89,1st Aug 2024,10,2024-08-01,Day_2024_08_01_Wafer_03,3247,31,0.1230000033974647,128.18666886064432,21.97332763671875,157.78070068359375,7.32134278642067,200.0,4.363165995507083,0.0954127196667549,3.9700000286102295,4.639999866485596,71.33779484735447,300.010009765625,600.02001953125,1.9323960599585024,0.0368497716220836,1.7999999523162842,2.059999942779541,1371.0129318589757,55.007606909316905,0.1816285350456293,10.202494459149284,0.0295259073821092,10.100000381469728,10.300000190734863,59.19886055850307,0.0738139662029119,1.2826646644384596,0.3990684303558414,0.1171910762786865,9.640186309814451,14.37478896326259,0.0030518509447574,14.993133544921877,3.91456513100857,11.180294449778362,-74.06842041015625,35.79821014404297,85.54630325374363,13.816417692212951,7.837153434753418,92.14453887939452,80.20264434814453,524.2252233544606,982.2763671875,3.393659198019352,7.910311343804477,227.2866058349609,28.658090957979955,3.948322200710052,24.1828670501709,49.93743515014648,0.0406074219232787,0.0006999999750405,0.0775000005960464,0.1174403379467916,56.61183547973633,2805.978515625,3377.17822265625,137.4564586681634,178.91887894973038,10.022767066955566
2024-08-01_04,6,4,9,Si,43.89461797752809,3.660172377447228,0.0833854478314643,40.222,51.9347,89,1st Aug 2024,10,2024-08-01,Day_2024_08_01_Wafer_04,3247,31,0.1230000033974647,128.06279020130285,21.97332763671875,157.78070068359375,7.325318755721946,200.0,4.27742532153551,0.1022221952963775,3.7799999713897705,4.579999923706055,71.28603631872048,300.010009765625,600.030029296875,1.9966923304253223,0.0331275424305135,1.870000004768372,2.0899999141693115,1371.0160724532982,55.0019403075232,0.1901274004624308,10.152540900650706,0.05258695228781,10.100000381469728,10.300000190734863,59.19969215428311,0.0780612493379146,1.297088349539205,0.3867892661561674,0.1147495955228805,9.245887756347656,14.374940092466291,0.0079348124563694,14.993133544921877,3.3554664111923063,8.87554638967173,-34.11969375610352,32.89895248413086,85.29265838114343,13.869064188610706,7.470931053161621,98.5106964111328,79.927978515625,525.4791349147259,982.551025390625,3.535306621394526,8.178956293469556,227.2408142089844,28.68577003772713,3.924281856357749,24.1950740814209,50.05645751953125,0.0405879885305039,0.0006999999750405,0.0778000056743621,0.2005743714600737,56.91701889038086,2804.8037109375,3378.551513671875,138.0020698353047,178.4758590109725,10.018738746643066
2024-08-01_05,6,5,9,Si,43.69129550561797,3.6235096083803935,0.0829343594976365,40.0373,51.6084,89,1st Aug 2024,10,2024-08-01,Day_2024_08_01_Wafer_05,3246,31,0.1230000033974647,128.10233661912503,21.362957000732425,158.6962432861328,7.275326555550617,200.0,4.165154037839898,0.1021284501836043,3.799999952316284,4.420000076293945,71.37924832861884,300.0199890136719,600.010009765625,2.064038774920186,0.040943987048533,1.9299999475479128,2.200000047683716,1371.0110878653536,54.99879860305081,0.1856196985465971,10.161737551310146,0.04860999351597,10.100000381469728,10.199999809265137,59.20021559761691,0.0756479966279229,1.3456955341483368,0.3942756926040865,0.1147495955228805,9.367961883544922,14.379291329931098,0.0054933317005634,14.993743896484377,3.308625752736372,7.892053195185743,-65.03494262695312,28.22962188720703,85.33414771302718,13.918761559902991,6.891079425811768,97.39982604980467,79.83641815185547,526.2043151150349,983.3750610351562,3.507019569038041,8.137532581543002,230.21636962890625,28.737656626815937,3.9092279493636095,24.22254180908203,50.06256484985352,0.0405920821677641,0.0006999999750405,0.0746999979019165,0.1621824665269364,57.37479782104492,2805.978515625,3378.551513671875,141.39327157258722,179.962464195621,10.016724586486816
2024-08-01_06,6,6,9,Si,43.231184269662926,3.57928583223534,0.0827940731373179,39.5939,51.0864,89,1st Aug 2024,10,2024-08-01,Day_2024_08_01_Wafer_06,3297,31,0.1230000033974647,126.16603597294464,21.97332763671875,157.4755096435547,7.266053986981113,200.0,4.183306039373984,0.1045664912721578,3.740000009536743,4.460000038146973,70.36323618912583,300.0199890136719,600.02001953125,2.07318769807992,0.0375904975160932,1.9299999475479128,2.200000047683716,1371.0134635001991,55.00282077251292,0.2083245701665043,10.1878979676848,0.0326197086905976,10.100000381469728,10.199999809265137,59.21107064068661,0.0803245694627524,1.3523304185380638,0.3924620779029937,0.1232947781682014,9.411908149719238,14.38867701592547,0.0079348124563694,14.993743896484377,3.054285404354578,7.502650761376561,-69.55168151855469,34.08917617797852,83.84195151566682,18.420017105565964,0.0,100.0,79.8822021484375,518.8587798285491,982.551025390625,3.55583678148879,8.10015002019062,229.02615356445312,28.703207988467117,3.86312792035214,24.23169708251953,50.00762939453125,0.040340885261975,0.0006999999750405,0.0676999986171722,0.0818270011348799,55.238502502441406,2805.978515625,3380.840576171875,144.76747190640674,188.88337838999388,10.026795387268066
2024-08-01_07,6,7,9,Si,42.97732808988764,3.866934891427953,0.0899761586699901,28.653,50.9534,89,1st Aug 2024,10,2024-08-01,Day_2024_08_01_Wafer_07,3298,31,0.1230000033974647,126.22318564797256,21.362957000732425,157.78070068359375,7.195057611108807,200.0,4.176497875740486,0.10017250226842,3.809999942779541,4.429999828338623,70.45576399875655,300.010009765625,600.010009765625,2.106473604717567,0.03979665028514,1.950000047683716,2.2100000381469727,1371.0172183544005,55.00457855048796,0.2222260473106241,10.194451023550595,0.0228964043480197,10.100000381469728,10.199999809265137,59.20436629184887,0.0825677983694035,1.3320202323805208,0.3852267848078057,0.1159703359007835,9.21292781829834,14.38445537823228,0.0030518509447574,14.993743896484377,3.2352118529718235,7.628790659624623,-53.37687301635742,113.83403778076172,83.56882425018554,18.317500809313035,0.0,97.3906707763672,79.83641815185547,517.2550201184681,984.1990356445312,3.5080230873837173,7.992476822651909,229.11770629882807,28.716691272774924,3.8851156972433234,24.24390411376953,50.065616607666016,0.0403510002426271,0.0006999999750405,0.0645999982953071,0.1941876639880289,56.91701889038086,2805.978515625,3377.330810546875,144.45823748530836,188.9734168262826,10.018738746643066
2024-08-01_08,6,8,9,Si,43.32931011235955,3.550864204670488,0.0819506286959693,39.6672,51.2159,89,1st Aug 2024,10,2024-08-01,Day_2024_08_01_Wafer_08,3246,31,0.1230000033974647,127.94748764660942,21.057771682739254,157.78070068359375,7.343126916203783,200.0,4.161595820572666,0.1069056657784371,3.7699999809265137,4.420000076293945,71.36603186646957,300.010009765625,600.010009765625,2.107162644373952,0.0384899091108393,1.950000047683716,2.200000047683716,1371.0127202455303,55.01047438070941,0.2298276272746669,10.194947466024702,0.0219055492946019,10.100000381469728,10.199999809265137,59.20459035848734,0.0731033249201095,1.319028786571211,0.3936696410005026,0.1196325570344924,9.414349555969238,14.374675006494936,0.0079348124563694,14.993743896484377,2.5915441983141285,6.89536235009462,-50.63020706176758,28.321176528930664,85.5000741251148,13.84103129947836,7.910397529602051,97.39372253417967,79.8822021484375,527.3154617563414,984.7483520507812,3.4665867774400145,7.62580295726012,221.3812713623047,28.796343169973284,3.900406409818361,24.1798152923584,50.14191055297852,0.0405778800943856,0.0006999999750405,0.0790999978780746,0.1011642531267449,57.222206115722656,2805.978515625,3376.110107421875,142.5546485977827,180.49609764981085,10.026795387268066
