test_lot,rank,feature,mi_score
4,2,current_Heater2Temp_mean,0.2580515109169381
4,3,current_Gas7Flow_mean,0.22860272580742214
4,4,current_HeliumBPFlow_mean,0.17221205858588928
4,5,current_PlatenDcBias_min,0.17144712890439306
4,6,current_Pressure_min,0.16110537315447426
4,7,current_SourceRFReflectedPower_mean,0.14108842864773385
4,8,current_HeliumBPFlow_min,0.12086896977913097
4,9,current_PlatenDcBias_mean,0.09705859437496
4,10,current_Gas7Flow_min,0.09173052119671476
4,11,current_HeliumBPFlow_std,0.08948853794220057
4,12,current_HeliumBPPressure_max,0.08701733388667887
4,13,current_HeliumBPPressure_min,0.08574624848562551
4,14,current_ForeLinePressure_max,0.07594560661715644
4,15,current_Pressure_mean,0.07286308822851595
4,16,current_SourceRF2PeakToPeak_max,0.07057447548071938
4,17,current_PlatenRFTuningCapacitor_std,0.06317295474833995
4,18,current_SourceRF2PeakToPeak_mean,0.06043297299227812
4,19,current_Heater4Temp_mean,0.049192543192582594
4,20,current_ForeLinePressure_mean,0.044454903442779914
4,21,current_Heater1Temp_mean,0.04126557576365619
4,22,current_PlatenDcBias_max,0.03775443271169676
4,23,current_PlatenRFTuningCapacitor_mean,0.03733159834844435
4,24,current_HeliumBPFlow_max,0.03726404175011755
4,25,current_Gas7Flow_max,0.03224826719099938
4,26,current_PlatenRFPeakToPeak_mean,0.025892230288270257
4,27,current_SourceRFLoadPower_max,0.021838347662959112
4,28,current_ForeLinePressure_min,0.019099589822160423
4,29,current_SourceRFPeakToPeak_max,0.01888064776648357
4,30,current_EpdIntensity_mean,0.0164680377008124
4,31,current_SourceRFReflectedPower_std,0.01023079421867057
4,32,current_PlatenRFPeakToPeak_max,0.009421909226112302
4,33,current_PlatenRFLoadCapacitor_min,0.006766571366692897
4,34,current_HeliumBPPressure_mean,0.004350506705730117
4,35,current_Heater2Temp_std,8.971857955386575e-05
4,36,current_Gas1Flow_max,0.0
4,37,current_Gas1Flow_mean,0.0
4,38,current_Gas2Flow_max,0.0
4,39,current_Gas2Flow_mean,0.0
4,40,current_Gas2Flow_min,0.0
4,41,current_Gas2Flow_std,0.0
4,42,current_Gas4Flow_max,0.0
4,43,current_Gas4Flow_mean,0.0
4,44,current_Gas5Flow_max,0.0
4,45,current_Gas7Flow_std,0.0
4,46,current_Heater3Temp_max,0.0
4,47,current_Heater3Temp_mean,0.0
4,48,current_Heater3Temp_min,0.0
4,49,current_Heater3Temp_std,0.0
4,50,current_Heater4Temp_std,0.0
4,51,current_PlatenDcBias_std,0.0
4,52,current_PlatenRFLoadCapacitor_max,0.0
4,53,current_PlatenRFLoadCapacitor_mean,0.0
4,54,current_PlatenRFLoadCapacitor_std,0.0
4,55,current_PlatenRFLoadPower_max,0.0
4,56,current_PlatenRFReflectedPower_max,0.0
4,57,current_PlatenRFReflectedPower_mean,0.0
4,58,current_PlatenRFTuningCapacitor_max,0.0
4,59,current_PlatenRFTuningCapacitor_min,0.0
4,60,current_Pressure_max,0.0
4,61,current_moriInnerCurrent_max,0.0
5,1,current_Heater2Temp_mean,0.3019384119779056
5,2,current_PlatenRFReflectedPower_std,0.24904062948828654
5,3,current_HeliumBPFlow_min,0.21173653369079326
5,4,current_Gas7Flow_mean,0.19131004229222848
5,5,current_HeliumBPFlow_mean,0.18059898043439215
5,6,current_Gas7Flow_min,0.1550548683506645
5,7,current_PlatenDcBias_min,0.14645500649450005
5,8,current_Pressure_min,0.1380900154764475
5,9,current_HeliumBPFlow_max,0.12162639706204903
5,10,current_HeliumBPPressure_min,0.11645706080659424
5,11,current_PlatenRFPeakToPeak_max,0.11088066020586806
5,12,current_Gas2Flow_mean,0.10781054438065008
5,13,current_PlatenRFTuningCapacitor_std,0.10607478645689072
5,14,current_HeliumBPPressure_mean,0.0977701879117221
5,15,current_SourceRF2PeakToPeak_max,0.09466317587613893
5,16,current_PlatenRFPeakToPeak_mean,0.07978862299138201
5,17,current_PlatenDcBias_mean,0.0763674997354824
5,18,current_Heater1Temp_mean,0.07306071371245215
5,19,current_SourceRFReflectedPower_mean,0.06219136763902444
5,20,current_Heater4Temp_mean,0.06049289604259367
5,21,current_PlatenRFLoadPower_max,0.05991518577100563
5,22,current_moriInnerCurrent_max,0.05878309790422387
5,23,current_Gas7Flow_max,0.056455805015706906
5,24,current_ForeLinePressure_max,0.05487388353582623
