lot_number,conditioning_count,conditioning_surface,current_wafer,next_wafer,prediction_horizon_wafers,pre_alarm_eligible,current_mean_si_etch,next_actual_mean_si_etch,CL,LCL,UCL,current_spc_alarm,current_spc_status,predicted_risk,ai_warning,next_spc_violation,next_actual_status,next_first_spc_alarm,successful_first_alarm_one_step_warning,system_status,warning_result,engineer_action,top1_process,top1_value,top1_shap,top2_process,top2_value,top2_shap,top3_process,top3_value,top3_shap,process_explanation
4,3,Si,4,5,1,1,43.998570636404494,43.92957708887641,44.33190473531835,43.79946563608591,44.8643438345508,0,NORMAL,0.1012105941772461,False,0,NORMAL,0,False,NORMAL,CORRECT NORMAL,CONTINUE MONITORING,SourceRFReflectedPower_mean,139.54984800185758,0.1984000504016876,PlatenDcBias_mean,3.582574117429667,0.0964729338884353,Gas7Flow_mean,2.0574807071083687,0.0582369230687618,"SourceRFReflectedPower_mean (value=139.5498, SHAP=+0.198) | PlatenDcBias_mean (value=3.5826, SHAP=+0.096) | Gas7Flow_mean (value=2.0575, SHAP=+0.058)"
4,3,Si,5,6,1,1,43.92957708887641,43.64391731,44.33190473531835,43.79946563608591,44.8643438345508,0,NORMAL,0.3945600092411041,False,1,SPC VIOLATION,1,False,NORMAL,MISSED EARLY WARNING,CONTINUE MONITORING,HeliumBPFlow_mean,1.3340602415175131,0.2177165150642395,HeliumBPFlow_min,0.1245155185461044,0.0800177454948425,Gas7Flow_mean,2.0585727217798127,0.0582369230687618,"HeliumBPFlow_mean (value=1.3341, SHAP=+0.218) | HeliumBPFlow_min (value=0.1245, SHAP=+0.080) | Gas7Flow_mean (value=2.0586, SHAP=+0.058)"
4,3,Si,6,7,1,0,43.64391731,43.214110956853936,44.33190473531835,43.79946563608591,44.8643438345508,1,ALARM,0.8060368895530701,True,1,SPC VIOLATION,0,False,SPC ALARM,POST-FIRST-SPC,ENGINEER ACTION REQUIRED,HeliumBPFlow_mean,1.335220040210236,0.2796547710895538,SourceRFReflectedPower_mean,140.3073875579328,0.2491782456636428,PlatenDcBias_mean,3.3995570701784747,0.2258844226598739,"HeliumBPFlow_mean (value=1.3352, SHAP=+0.280) | SourceRFReflectedPower_mean (value=140.3074, SHAP=+0.249) | PlatenDcBias_mean (value=3.3996, SHAP=+0.226)"
4,3,Si,7,8,1,0,43.214110956853936,43.135930337078655,44.33190473531835,43.79946563608591,44.8643438345508,1,ALARM,0.6452261209487915,True,1,SPC VIOLATION,0,False,SPC ALARM,POST-FIRST-SPC,ENGINEER ACTION REQUIRED,SourceRFReflectedPower_mean,142.5087858278572,0.1677466928958892,HeliumBPFlow_min,0.1220740377902984,0.0367616564035415,Gas7Flow_min,1.940000057220459,0.0253611616790294,"SourceRFReflectedPower_mean (value=142.5088, SHAP=+0.168) | HeliumBPFlow_min (value=0.1221, SHAP=+0.037) | Gas7Flow_min (value=1.9400, SHAP=+0.025)"
4,3,Si,8,9,1,0,43.135930337078655,42.94292808988764,44.33190473531835,43.79946563608591,44.8643438345508,1,ALARM,0.7941054701805115,True,1,SPC VIOLATION,0,False,SPC ALARM,POST-FIRST-SPC,ENGINEER ACTION REQUIRED,PlatenDcBias_mean,3.4525139170655628,0.2455088943243026,SourceRFReflectedPower_mean,142.53291213214533,0.1911858767271042,Gas7Flow_mean,2.0522460946533743,0.0650390684604644,"PlatenDcBias_mean (value=3.4525, SHAP=+0.246) | SourceRFReflectedPower_mean (value=142.5329, SHAP=+0.191) | Gas7Flow_mean (value=2.0522, SHAP=+0.065)"
4,3,Si,9,10,1,0,42.94292808988764,43.42402808988764,44.33190473531835,43.79946563608591,44.8643438345508,1,ALARM,0.7910692691802979,True,1,SPC VIOLATION,0,False,SPC ALARM,POST-FIRST-SPC,ENGINEER ACTION REQUIRED,PlatenRFReflectedPower_std,7.682673324555483,0.9088284373283386,SourceRFReflectedPower_mean,140.85521766114942,0.1467341184616089,Gas7Flow_mean,2.0356400751847006,0.0650390684604644,"PlatenRFReflectedPower_std (value=7.6827, SHAP=+0.909) | SourceRFReflectedPower_mean (value=140.8552, SHAP=+0.147) | Gas7Flow_mean (value=2.0356, SHAP=+0.065)"
5,1,Si,3,4,1,1,43.85850112359551,43.35476853932584,43.96169288389513,43.42925378466269,44.49413198312757,0,NORMAL,0.6050675511360168,True,1,SPC VIOLATION,1,True,EARLY WARNING,TRUE EARLY WARNING,ENGINEER REVIEW REQUIRED,HeliumBPFlow_mean,1.3751755062115534,0.576215922832489,HeliumBPPressure_min,0.0048829615116119,0.3159960508346557,Gas7Flow_min,1.940000057220459,0.0669923424720764,"HeliumBPFlow_mean (value=1.3752, SHAP=+0.576) | HeliumBPPressure_min (value=0.0049, SHAP=+0.316) | Gas7Flow_min (value=1.9400, SHAP=+0.067)"
5,1,Si,4,5,1,0,43.35476853932584,43.50141797752809,43.96169288389513,43.42925378466269,44.49413198312757,1,ALARM,0.9182350635528564,True,0,NORMAL,0,False,SPC ALARM,POST-FIRST-SPC,ENGINEER ACTION REQUIRED,HeliumBPFlow_mean,1.374078546971688,0.5378533601760864,HeliumBPPressure_min,0.0048829615116119,0.2874583601951599,HeliumBPFlow_min,0.1220740377902984,0.2455761581659317,"HeliumBPFlow_mean (value=1.3741, SHAP=+0.538) | HeliumBPPressure_min (value=0.0049, SHAP=+0.287) | HeliumBPFlow_min (value=0.1221, SHAP=+0.246)"
5,1,Si,5,6,1,0,43.50141797752809,43.371765168539326,43.96169288389513,43.42925378466269,44.49413198312757,0,NORMAL,0.9602300524711608,True,1,SPC VIOLATION,0,False,EARLY WARNING,POST-FIRST-SPC,ENGINEER REVIEW REQUIRED,HeliumBPFlow_mean,1.3808326245602898,0.5356767177581787,HeliumBPPressure_min,0.0048829615116119,0.2874583601951599,HeliumBPFlow_min,0.1220740377902984,0.2554195523262024,"HeliumBPFlow_mean (value=1.3808, SHAP=+0.536) | HeliumBPPressure_min (value=0.0049, SHAP=+0.287) | HeliumBPFlow_min (value=0.1221, SHAP=+0.255)"
5,1,Si,6,7,1,0,43.371765168539326,43.26722436393258,43.96169288389513,43.42925378466269,44.49413198312757,1,ALARM,0.9441539645195008,True,1,SPC VIOLATION,0,False,SPC ALARM,POST-FIRST-SPC,ENGINEER ACTION REQUIRED,HeliumBPFlow_mean,1.3499332137812017,0.4842793941497803,HeliumBPFlow_min,0.125736266374588,0.2562867701053619,Gas7Flow_min,1.9299999475479128,0.0900334045290947,"HeliumBPFlow_mean (value=1.3499, SHAP=+0.484) | HeliumBPFlow_min (value=0.1257, SHAP=+0.256) | Gas7Flow_min (value=1.9300, SHAP=+0.090)"
5,1,Si,7,8,1,0,43.26722436393258,43.17212696629213,43.96169288389513,43.42925378466269,44.49413198312757,1,ALARM,0.9498750567436218,True,1,SPC VIOLATION,0,False,SPC ALARM,POST-FIRST-SPC,ENGINEER ACTION REQUIRED,HeliumBPFlow_mean,1.4083071793357824,0.5316632986068726,PlatenRFReflectedPower_std,7.556859028976109,0.3685272932052612,HeliumBPPressure_min,0.0048829615116119,0.1954293847084045,"HeliumBPFlow_mean (value=1.4083, SHAP=+0.532) | PlatenRFReflectedPower_std (value=7.5569, SHAP=+0.369) | HeliumBPPressure_min (value=0.0049, SHAP=+0.195)"
