test_lot,lot_number,current_wafer,next_wafer,actual_target,prediction,predicted_risk,pre_alarm_eligible,next_first_spc_alarm,feature,feature_clean,feature_value,shap_value,abs_shap
2,2,4,5,1,0,0.46172282099723816,0,0,current_PlatenRFTuningCapacitor_std,PlatenRFTuningCapacitor_std,3.936366374451023,-0.13798615336418152,0.13798615336418152
2,2,4,5,1,0,0.46172282099723816,0,0,current_PlatenRFLoadCapacitor_min,PlatenRFLoadCapacitor_min,0.0,0.0,0.0
2,2,4,5,1,0,0.46172282099723816,0,0,current_HeliumBPFlow_max,HeliumBPFlow_max,9.525437355041504,-0.007405162788927555,0.007405162788927555
2,2,4,5,1,0,0.46172282099723816,0,0,conditioning_surface_Chuck,conditioning_surface_Chuck,1.0,0.0,0.0
2,2,4,5,1,0,0.46172282099723816,0,0,conditioning_surface_Si,conditioning_surface_Si,0.0,-0.156117781996727,0.156117781996727
2,2,4,5,1,0,0.46172282099723816,0,0,conditioning_surface_SiO2,conditioning_surface_SiO2,0.0,0.17276428639888763,0.17276428639888763
2,2,5,6,1,1,0.8044150471687317,0,0,current_wafer,wafer,5.0,0.4473536014556885,0.4473536014556885
2,2,5,6,1,1,0.8044150471687317,0,0,current_mean_si_etch,mean_si_etch,43.54600561797753,0.10557305812835693,0.10557305812835693
2,2,5,6,1,1,0.8044150471687317,0,0,current_std_si_etch,std_si_etch,3.4666253747622258,0.2714959979057312,0.2714959979057312
2,2,5,6,1,1,0.8044150471687317,0,0,current_cv_si_etch,cv_si_etch,0.0796083435338341,0.08237043768167496,0.08237043768167496
2,2,5,6,1,1,0.8044150471687317,0,0,conditioning_count,conditioning_count,1.0,0.0,0.0
2,2,5,6,1,1,0.8044150471687317,0,0,current_Heater2Temp_mean,Heater2Temp_mean,53.99950754807698,0.20786148309707642,0.20786148309707642
2,2,5,6,1,1,0.8044150471687317,0,0,current_PlatenRFReflectedPower_std,PlatenRFReflectedPower_std,7.692523325623361,0.05295681580901146,0.05295681580901146
2,2,5,6,1,1,0.8044150471687317,0,0,current_SourceRFReflectedPower_mean,SourceRFReflectedPower_mean,136.71664554546814,-0.29203352332115173,0.29203352332115173
2,2,5,6,1,1,0.8044150471687317,0,0,current_HeliumBPPressure_min,HeliumBPPressure_min,0.0079348124563694,0.1937587857246399,0.1937587857246399
2,2,5,6,1,1,0.8044150471687317,0,0,current_Gas7Flow_min,Gas7Flow_min,1.9299999475479128,0.0735984593629837,0.0735984593629837
2,2,5,6,1,1,0.8044150471687317,0,0,current_Gas7Flow_mean,Gas7Flow_mean,2.0633507350205567,0.08259329199790955,0.08259329199790955
2,2,5,6,1,1,0.8044150471687317,0,0,current_HeliumBPFlow_mean,HeliumBPFlow_mean,1.4029555295040177,0.3312188982963562,0.3312188982963562
2,2,5,6,1,1,0.8044150471687317,0,0,current_PlatenRFTuningCapacitor_std,PlatenRFTuningCapacitor_std,3.9136910134737626,-0.13941702246665955,0.13941702246665955
2,2,5,6,1,1,0.8044150471687317,0,0,current_PlatenRFLoadCapacitor_min,PlatenRFLoadCapacitor_min,7.525864601135254,0.0,0.0
2,2,5,6,1,1,0.8044150471687317,0,0,current_HeliumBPFlow_max,HeliumBPFlow_max,9.691457748413086,-0.02446994185447693,0.02446994185447693
2,2,5,6,1,1,0.8044150471687317,0,0,conditioning_surface_Chuck,conditioning_surface_Chuck,1.0,0.0,0.0
2,2,5,6,1,1,0.8044150471687317,0,0,conditioning_surface_Si,conditioning_surface_Si,0.0,-0.14634299278259277,0.14634299278259277
2,2,5,6,1,1,0.8044150471687317,0,0,conditioning_surface_SiO2,conditioning_surface_SiO2,0.0,0.24046581983566284,0.24046581983566284
2,2,6,7,1,1,0.9627556204795837,0,0,current_wafer,wafer,6.0,0.7081225514411926,0.7081225514411926
2,2,6,7,1,1,0.9627556204795837,0,0,current_mean_si_etch,mean_si_etch,43.41621348314607,0.25235286355018616,0.25235286355018616
2,2,6,7,1,1,0.9627556204795837,0,0,current_std_si_etch,std_si_etch,3.452597133719872,0.23204073309898376,0.23204073309898376
2,2,6,7,1,1,0.9627556204795837,0,0,current_cv_si_etch,cv_si_etch,0.0795232208598787,0.05404229834675789,0.05404229834675789
2,2,6,7,1,1,0.9627556204795837,0,0,conditioning_count,conditioning_count,1.0,0.0,0.0
2,2,6,7,1,1,0.9627556204795837,0,0,current_Heater2Temp_mean,Heater2Temp_mean,54.01145655329792,0.08474809676408768,0.08474809676408768
2,2,6,7,1,1,0.9627556204795837,0,0,current_PlatenRFReflectedPower_std,PlatenRFReflectedPower_std,7.578408419721608,0.9035146832466125,0.9035146832466125
2,2,6,7,1,1,0.9627556204795837,0,0,current_SourceRFReflectedPower_mean,SourceRFReflectedPower_mean,140.54926095527293,0.16861191391944885,0.16861191391944885
2,2,6,7,1,1,0.9627556204795837,0,0,current_HeliumBPPressure_min,HeliumBPPressure_min,0.0067140720784664,0.20453478395938873,0.20453478395938873
